date,mxn_usd_spot,mxn_fwd_1m,min_max_spread,bid_ask_spread,mxn_interbank_1m,mxn_sov_10y,usa_libor_1m,usa_sov_10y,vix,oil_prices,eur_usd_spot
2/6/1990,2.7181,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.375,8.58,24.69,22.51,#N/A N/A
2/7/1990,2.7181,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.3125,8.536,24.29,22.32,#N/A N/A
2/8/1990,2.7181,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.3125,8.429,23.77,22.09,#N/A N/A
2/9/1990,2.7181,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.3125,8.29,23.69,21.74,#N/A N/A
2/12/1990,2.725,#N/A N/A,0.0069,0,#N/A N/A,#N/A N/A,8.25,8.385,24.38,22.03,#N/A N/A
2/13/1990,2.725,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.3125,8.32,23.76,21.9,#N/A N/A
2/14/1990,2.725,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.3125,8.373,22.05,22.07,#N/A N/A
2/15/1990,2.725,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.3125,8.413,19.71,22.84,#N/A N/A
2/16/1990,2.725,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.375,8.413,20.78,22.42,#N/A N/A
2/19/1990,2.725,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.3125,8.478,20.78,22.42,#N/A N/A
2/20/1990,2.731,#N/A N/A,0.006,0,#N/A N/A,#N/A N/A,8.3125,8.629,22.78,22.19,#N/A N/A
2/21/1990,2.731,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.3125,8.603,23.89,21.74,#N/A N/A
2/22/1990,2.731,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.375,8.539,22.54,21.75,#N/A N/A
2/23/1990,2.731,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.3125,8.537,23.69,21.42,#N/A N/A
2/26/1990,2.731,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.375,8.459,23.56,21.79,#N/A N/A
2/27/1990,2.745,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.375,8.414,22.69,21.58,#N/A N/A
2/28/1990,2.745,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.375,8.515,21.99,21.54,#N/A N/A
3/1/1990,2.745,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.3125,8.581,21.9,21.17,#N/A N/A
3/2/1990,2.745,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.375,8.546,21.34,21.35,#N/A N/A
3/5/1990,2.7479,#N/A N/A,0.0029,0,#N/A N/A,#N/A N/A,8.4375,8.631,22.03,21.58,#N/A N/A
3/6/1990,2.7479,#N/A N/A,0.0029,0,#N/A N/A,#N/A N/A,8.375,8.562,20.55,19.33,#N/A N/A
3/7/1990,2.7479,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.4375,8.579,19.1,20.93,#N/A N/A
3/8/1990,2.7479,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.375,8.553,19.74,20.78,#N/A N/A
3/9/1990,2.7479,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.4375,8.631,20.3,20.43,#N/A N/A
3/12/1990,2.7565,#N/A N/A,0.0086,0,#N/A N/A,#N/A N/A,8.4375,8.629,20.07,20.24,#N/A N/A
3/13/1990,2.7565,#N/A N/A,0.0086,0,#N/A N/A,#N/A N/A,8.4375,8.708,21.05,20.22,#N/A N/A
