date,amount,direction,type,sell_amount
11/6/2012,0,sell USD,min price,
11/7/2012,0,sell USD,min price,
11/8/2012,0,sell USD,min price,
11/9/2012,0,sell USD,min price,
11/12/2012,0,sell USD,min price,
11/13/2012,0,sell USD,min price,
11/14/2012,0,sell USD,min price,
11/15/2012,0,sell USD,min price,
11/16/2012,0,sell USD,min price,
11/20/2012,0,sell USD,min price,
11/21/2012,0,sell USD,min price,
11/22/2012,0,sell USD,min price,
11/23/2012,0,sell USD,min price,
11/26/2012,0,sell USD,min price,
11/27/2012,0,sell USD,min price,
11/28/2012,0,sell USD,min price,
11/29/2012,0,sell USD,min price,
11/30/2012,0,sell USD,min price,
12/3/2012,0,sell USD,min price,
12/4/2012,0,sell USD,min price,
12/5/2012,0,sell USD,min price,
12/6/2012,0,sell USD,min price,
12/7/2012,0,sell USD,min price,
12/10/2012,0,sell USD,min price,
12/11/2012,0,sell USD,min price,
12/13/2012,0,sell USD,min price,
12/14/2012,0,sell USD,min price,
12/17/2012,0,sell USD,min price,
12/18/2012,0,sell USD,min price,
12/19/2012,0,sell USD,min price,
12/20/2012,0,sell USD,min price,
12/21/2012,0,sell USD,min price,
12/24/2012,0,sell USD,min price,
12/26/2012,0,sell USD,min price,
12/27/2012,0,sell USD,min price,
12/28/2012,0,sell USD,min price,
12/31/2012,0,sell USD,min price,
1/2/2013,0,sell USD,min price,
1/3/2013,0,sell USD,min price,
1/4/2013,0,sell USD,min price,
1/7/2013,0,sell USD,min price,
1/8/2013,0,sell USD,min price,
1/9/2013,0,sell USD,min price,
1/10/2013,0,sell USD,min price,
1/11/2013,0,sell USD,min price,
1/14/2013,0,sell USD,min price,
1/15/2013,0,sell USD,min price,
1/16/2013,0,sell USD,min price,
1/17/2013,0,sell USD,min price,
1/18/2013,0,sell USD,min price,
1/21/2013,0,sell USD,min price,
1/22/2013,0,sell USD,min price,
1/23/2013,0,sell USD,min price,
1/24/2013,0,sell USD,min price,
1/25/2013,0,sell USD,min price,
1/28/2013,0,sell USD,min price,
1/29/2013,0,sell USD,min price,
1/30/2013,0,sell USD,min price,
1/31/2013,0,sell USD,min price,
2/1/2013,0,sell USD,min price,
2/5/2013,0,sell USD,min price,
2/6/2013,0,sell USD,min price,
2/7/2013,0,sell USD,min price,
2/8/2013,0,sell USD,min price,
2/11/2013,0,sell USD,min price,
2/12/2013,0,sell USD,min price,
2/13/2013,0,sell USD,min price,
2/14/2013,0,sell USD,min price,
2/15/2013,0,sell USD,min price,
2/18/2013,0,sell USD,min price,
2/19/2013,0,sell USD,min price,
2/20/2013,0,sell USD,min price,
2/21/2013,0,sell USD,min price,
2/22/2013,0,sell USD,min price,
2/25/2013,0,sell USD,min price,
2/26/2013,0,sell USD,min price,
2/27/2013,0,sell USD,min price,
2/28/2013,0,sell USD,min price,
3/1/2013,0,sell USD,min price,
3/4/2013,0,sell USD,min price,
3/5/2013,0,sell USD,min price,
3/6/2013,0,sell USD,min price,
3/7/2013,0,sell USD,min price,
3/8/2013,0,sell USD,min price,
3/11/2013,0,sell USD,min price,
3/12/2013,0,sell USD,min price,
3/13/2013,0,sell USD,min price,
3/14/2013,0,sell USD,min price,
3/15/2013,0,sell USD,min price,
3/19/2013,0,sell USD,min price,
3/20/2013,0,sell USD,min price,
3/21/2013,0,sell USD,min price,
3/22/2013,0,sell USD,min price,
3/25/2013,0,sell USD,min price,
3/26/2013,0,sell USD,min price,
3/27/2013,0,sell USD,min price,
4/1/2013,0,sell USD,min price,
4/2/2013,0,sell USD,min price,
4/3/2013,0,sell USD,min price,
4/4/2013,0,sell USD,min price,
4/5/2013,0,sell USD,min price,
4/8/2013,0,sell USD,min price,
12/9/2014,0,sell USD,min price,
12/10/2014,0,sell USD,min price,
12/11/2014,200,sell USD,min price,200
12/15/2014,0,sell USD,min price,
12/16/2014,0,sell USD,min price,
12/17/2014,0,sell USD,min price,
12/18/2014,0,sell USD,min price,
12/19/2014,0,sell USD,min price,
12/22/2014,0,sell USD,min price,
12/23/2014,0,sell USD,min price,
12/24/2014,0,sell USD,min price,
12/26/2014,0,sell USD,min price,
12/29/2014,0,sell USD,min price,
12/30/2014,0,sell USD,min price,
12/31/2014,0,sell USD,min price,
1/2/2015,0,sell USD,min price,
1/5/2015,0,sell USD,min price,
1/6/2015,0,sell USD,min price,
1/7/2015,0,sell USD,min price,
1/8/2015,0,sell USD,min price,
1/9/2015,0,sell USD,min price,
1/12/2015,0,sell USD,min price,
1/13/2015,0,sell USD,min price,
1/14/2015,0,sell USD,min price,
1/15/2015,0,sell USD,min price,
1/16/2015,0,sell USD,min price,
1/19/2015,0,sell USD,min price,
1/20/2015,0,sell USD,min price,
1/21/2015,0,sell USD,min price,
1/22/2015,0,sell USD,min price,
1/23/2015,0,sell USD,min price,
1/26/2015,0,sell USD,min price,
1/27/2015,0,sell USD,min price,
1/28/2015,0,sell USD,min price,
1/29/2015,0,sell USD,min price,
1/30/2015,0,sell USD,min price,
2/3/2015,0,sell USD,min price,
2/4/2015,0,sell USD,min price,
2/5/2015,0,sell USD,min price,
2/6/2015,0,sell USD,min price,
2/9/2015,0,sell USD,min price,
2/10/2015,0,sell USD,min price,
2/11/2015,0,sell USD,min price,
2/12/2015,0,sell USD,min price,
2/13/2015,0,sell USD,min price,
2/16/2015,0,sell USD,min price,
2/17/2015,0,sell USD,min price,
2/18/2015,0,sell USD,min price,
2/19/2015,0,sell USD,min price,
2/20/2015,0,sell USD,min price,
2/23/2015,0,sell USD,min price,
2/24/2015,0,sell USD,min price,
2/25/2015,0,sell USD,min price,
2/26/2015,0,sell USD,min price,
2/27/2015,0,sell USD,min price,
3/2/2015,0,sell USD,min price,
3/3/2015,0,sell USD,min price,
3/4/2015,0,sell USD,min price,
3/5/2015,0,sell USD,min price,
3/6/2015,200,sell USD,min price,200
3/9/2015,0,sell USD,min price,
3/10/2015,0,sell USD,min price,
3/11/2015,52,sell USD,no min price,52
3/11/2015,0,sell USD,min price,
3/12/2015,0,sell USD,min price,
3/12/2015,52,sell USD,no min price,52
3/13/2015,0,sell USD,min price,
3/13/2015,52,sell USD,no min price,52
3/17/2015,52,sell USD,no min price,52
3/17/2015,0,sell USD,min price,
3/18/2015,0,sell USD,min price,
3/18/2015,52,sell USD,no min price,52
3/19/2015,0,sell USD,min price,
3/19/2015,52,sell USD,no min price,52
3/20/2015,0,sell USD,min price,
3/20/2015,52,sell USD,no min price,52
3/23/2015,52,sell USD,no min price,52
3/23/2015,0,sell USD,min price,
3/24/2015,0,sell USD,min price,
3/24/2015,52,sell USD,no min price,52
3/25/2015,0,sell USD,min price,
3/25/2015,52,sell USD,no min price,52
3/26/2015,0,sell USD,min price,
3/26/2015,52,sell USD,no min price,52
3/27/2015,52,sell USD,no min price,52
3/27/2015,0,sell USD,min price,
3/30/2015,52,sell USD,no min price,52
3/30/2015,0,sell USD,min price,
3/31/2015,52,sell USD,no min price,52
3/31/2015,0,sell USD,min price,
4/1/2015,0,sell USD,min price,
4/1/2015,52,sell USD,no min price,52
4/6/2015,52,sell USD,no min price,52
4/6/2015,0,sell USD,min price,
4/7/2015,52,sell USD,no min price,52
4/7/2015,0,sell USD,min price,
4/8/2015,52,sell USD,no min price,52
4/8/2015,0,sell USD,min price,
4/9/2015,0,sell USD,min price,
4/9/2015,52,sell USD,no min price,52
4/10/2015,52,sell USD,no min price,52
4/10/2015,0,sell USD,min price,
4/13/2015,0,sell USD,min price,
4/13/2015,52,sell USD,no min price,52
4/14/2015,0,sell USD,min price,
4/14/2015,52,sell USD,no min price,52
4/15/2015,0,sell USD,min price,
4/15/2015,52,sell USD,no min price,52
4/16/2015,52,sell USD,no min price,52
4/16/2015,0,sell USD,min price,
4/17/2015,52,sell USD,no min price,52
4/17/2015,0,sell USD,min price,
4/20/2015,0,sell USD,min price,
4/20/2015,52,sell USD,no min price,52
4/21/2015,0,sell USD,min price,
4/21/2015,52,sell USD,no min price,52
4/22/2015,0,sell USD,min price,
4/22/2015,52,sell USD,no min price,52
4/23/2015,0,sell USD,min price,
4/23/2015,52,sell USD,no min price,52
4/24/2015,0,sell USD,min price,
4/24/2015,52,sell USD,no min price,52
4/27/2015,52,sell USD,no min price,52
4/27/2015,0,sell USD,min price,
4/28/2015,52,sell USD,no min price,52
4/28/2015,0,sell USD,min price,
4/29/2015,0,sell USD,min price,
4/29/2015,52,sell USD,no min price,52
4/30/2015,52,sell USD,no min price,52
4/30/2015,0,sell USD,min price,
5/4/2015,52,sell USD,no min price,52
5/4/2015,0,sell USD,min price,
5/5/2015,52,sell USD,no min price,52
5/5/2015,0,sell USD,min price,
5/6/2015,52,sell USD,no min price,52
5/6/2015,0,sell USD,min price,
5/7/2015,52,sell USD,no min price,52
5/7/2015,0,sell USD,min price,
5/8/2015,52,sell USD,no min price,52
5/8/2015,0,sell USD,min price,
5/11/2015,0,sell USD,min price,
5/11/2015,52,sell USD,no min price,52
5/12/2015,52,sell USD,no min price,52
5/12/2015,0,sell USD,min price,
5/13/2015,52,sell USD,no min price,52
5/13/2015,0,sell USD,min price,
5/14/2015,52,sell USD,no min price,52
5/14/2015,0,sell USD,min price,
5/15/2015,52,sell USD,no min price,52
5/15/2015,0,sell USD,min price,
5/18/2015,52,sell USD,no min price,52
5/18/2015,0,sell USD,min price,
5/19/2015,0,sell USD,min price,
5/19/2015,52,sell USD,no min price,52
5/20/2015,0,sell USD,min price,
5/20/2015,52,sell USD,no min price,52
5/21/2015,0,sell USD,min price,
5/21/2015,52,sell USD,no min price,52
5/22/2015,0,sell USD,min price,
5/22/2015,52,sell USD,no min price,52
5/25/2015,0,sell USD,min price,
5/25/2015,30,sell USD,no min price,30
5/26/2015,0,sell USD,min price,
5/26/2015,74,sell USD,no min price,74
5/27/2015,52,sell USD,no min price,52
5/27/2015,0,sell USD,min price,
5/28/2015,0,sell USD,min price,
5/28/2015,52,sell USD,no min price,52
5/29/2015,0,sell USD,min price,
5/29/2015,52,sell USD,no min price,52
6/1/2015,0,sell USD,min price,
6/1/2015,52,sell USD,no min price,52
6/2/2015,52,sell USD,no min price,52
6/2/2015,0,sell USD,min price,
6/3/2015,0,sell USD,min price,
6/3/2015,52,sell USD,no min price,52
6/4/2015,52,sell USD,no min price,52
6/4/2015,0,sell USD,min price,
6/5/2015,52,sell USD,no min price,52
6/5/2015,0,sell USD,min price,
6/8/2015,52,sell USD,no min price,52
6/8/2015,0,sell USD,min price,
6/9/2015,0,sell USD,min price,
6/9/2015,52,sell USD,no min price,52
6/10/2015,52,sell USD,no min price,52
6/10/2015,0,sell USD,min price,
6/11/2015,52,sell USD,no min price,52
6/11/2015,0,sell USD,min price,
6/12/2015,52,sell USD,no min price,52
6/12/2015,0,sell USD,min price,
6/15/2015,0,sell USD,min price,
6/15/2015,52,sell USD,no min price,52
6/16/2015,52,sell USD,no min price,52
6/16/2015,0,sell USD,min price,
6/17/2015,52,sell USD,no min price,52
6/17/2015,0,sell USD,min price,
6/18/2015,52,sell USD,no min price,52
6/18/2015,0,sell USD,min price,
6/19/2015,52,sell USD,no min price,52
6/19/2015,0,sell USD,min price,
6/22/2015,52,sell USD,no min price,52
6/22/2015,0,sell USD,min price,
6/23/2015,52,sell USD,no min price,52
6/23/2015,0,sell USD,min price,
6/24/2015,52,sell USD,no min price,52
6/24/2015,0,sell USD,min price,
6/25/2015,0,sell USD,min price,
6/25/2015,52,sell USD,no min price,52
6/26/2015,52,sell USD,no min price,52
6/26/2015,0,sell USD,min price,
6/29/2015,52,sell USD,no min price,52
6/29/2015,0,sell USD,min price,
6/30/2015,52,sell USD,no min price,52
6/30/2015,0,sell USD,min price,
7/1/2015,0,sell USD,min price,
7/1/2015,52,sell USD,no min price,52
7/2/2015,52,sell USD,no min price,52
7/2/2015,0,sell USD,min price,
7/3/2015,52,sell USD,no min price,52
7/3/2015,0,sell USD,min price,
7/6/2015,0,sell USD,min price,
7/6/2015,52,sell USD,no min price,52
7/7/2015,52,sell USD,no min price,52
7/7/2015,0,sell USD,min price,
7/8/2015,0,sell USD,min price,
7/8/2015,52,sell USD,no min price,52
7/9/2015,0,sell USD,min price,
7/9/2015,52,sell USD,no min price,52
7/10/2015,0,sell USD,min price,
7/10/2015,52,sell USD,no min price,52
7/13/2015,0,sell USD,min price,
7/13/2015,52,sell USD,no min price,52
7/14/2015,52,sell USD,no min price,52
7/14/2015,0,sell USD,min price,
7/15/2015,0,sell USD,min price,
7/15/2015,52,sell USD,no min price,52
7/16/2015,0,sell USD,min price,
7/16/2015,52,sell USD,no min price,52
7/17/2015,0,sell USD,min price,
7/17/2015,52,sell USD,no min price,52
7/20/2015,0,sell USD,min price,
7/20/2015,52,sell USD,no min price,52
7/21/2015,0,sell USD,min price,
7/21/2015,52,sell USD,no min price,52
7/22/2015,52,sell USD,no min price,52
7/22/2015,0,sell USD,min price,
7/23/2015,0,sell USD,min price,
7/23/2015,52,sell USD,no min price,52
7/24/2015,52,sell USD,no min price,52
7/24/2015,0,sell USD,min price,
7/27/2015,52,sell USD,no min price,52
7/27/2015,0,sell USD,min price,
7/28/2015,0,sell USD,min price,
7/28/2015,52,sell USD,no min price,52
7/29/2015,0,sell USD,min price,
7/29/2015,52,sell USD,no min price,52
7/30/2015,52,sell USD,no min price,52
7/30/2015,200,sell USD,min price,200
7/31/2015,200,sell USD,no min price,200
7/31/2015,0,sell USD,min price,
8/3/2015,0,sell USD,min price,
8/3/2015,200,sell USD,no min price,200
8/4/2015,0,sell USD,min price,
8/4/2015,200,sell USD,no min price,200
8/5/2015,200,sell USD,min price,200
8/5/2015,200,sell USD,no min price,200
8/6/2015,0,sell USD,min price,
8/6/2015,200,sell USD,no min price,200
8/7/2015,0,sell USD,min price,
8/7/2015,200,sell USD,no min price,200
8/10/2015,0,sell USD,min price,
8/10/2015,200,sell USD,no min price,200
8/11/2015,173,sell USD,min price,173
8/11/2015,200,sell USD,no min price,200
8/12/2015,0,sell USD,min price,
8/12/2015,200,sell USD,no min price,200
8/13/2015,0,sell USD,min price,
8/13/2015,200,sell USD,no min price,200
8/14/2015,0,sell USD,min price,
8/14/2015,200,sell USD,no min price,200
8/17/2015,200,sell USD,no min price,200
8/17/2015,0,sell USD,min price,
8/18/2015,0,sell USD,min price,
8/18/2015,200,sell USD,no min price,200
8/19/2015,200,sell USD,no min price,200
8/19/2015,33,sell USD,min price,33
8/20/2015,0,sell USD,min price,
8/20/2015,200,sell USD,no min price,200
8/21/2015,200,sell USD,min price,200
8/21/2015,200,sell USD,no min price,200
8/24/2015,200,sell USD,min price,200
8/24/2015,200,sell USD,no min price,200
8/25/2015,0,sell USD,min price,
8/25/2015,200,sell USD,no min price,200
8/26/2015,103,sell USD,min price,103
8/26/2015,200,sell USD,no min price,200
8/27/2015,0,sell USD,min price,
8/27/2015,141,sell USD,no min price,141
8/28/2015,259,sell USD,no min price,259
8/28/2015,0,sell USD,min price,
8/31/2015,200,sell USD,no min price,200
8/31/2015,0,sell USD,min price,
9/1/2015,200,sell USD,no min price,200
9/1/2015,200,sell USD,min price,200
9/2/2015,200,sell USD,no min price,200
9/2/2015,0,sell USD,min price,
9/3/2015,0,sell USD,min price,
9/3/2015,200,sell USD,no min price,200
9/4/2015,200,sell USD,no min price,200
9/4/2015,0,sell USD,min price,
9/7/2015,200,sell USD,no min price,200
9/7/2015,0,sell USD,min price,
9/8/2015,0,sell USD,min price,
9/8/2015,200,sell USD,no min price,200
9/9/2015,200,sell USD,no min price,200
9/9/2015,0,sell USD,min price,
9/10/2015,0,sell USD,min price,
9/10/2015,200,sell USD,no min price,200
9/11/2015,200,sell USD,no min price,200
9/11/2015,0,sell USD,min price,
9/14/2015,0,sell USD,min price,
9/14/2015,200,sell USD,no min price,200
9/15/2015,200,sell USD,no min price,200
9/15/2015,0,sell USD,min price,
9/17/2015,200,sell USD,no min price,200
9/17/2015,0,sell USD,min price,
9/18/2015,200,sell USD,no min price,200
9/18/2015,0,sell USD,min price,
9/21/2015,200,sell USD,no min price,200
9/21/2015,200,sell USD,min price,200
9/22/2015,200,sell USD,min price,200
9/22/2015,200,sell USD,no min price,200
9/23/2015,200,sell USD,no min price,200
9/23/2015,200,sell USD,min price,200
9/24/2015,200,sell USD,no min price,200
9/24/2015,0,sell USD,min price,
9/25/2015,200,sell USD,no min price,200
9/25/2015,0,sell USD,min price,
9/28/2015,200,sell USD,no min price,200
9/28/2015,0,sell USD,min price,
9/29/2015,200,sell USD,no min price,200
9/29/2015,0,sell USD,min price,
9/30/2015,200,sell USD,no min price,200
9/30/2015,0,sell USD,min price,
10/1/2015,200,sell USD,no min price,200
10/1/2015,0,sell USD,min price,
10/2/2015,200,sell USD,no min price,200
10/2/2015,0,sell USD,min price,
10/5/2015,200,sell USD,no min price,200
10/5/2015,0,sell USD,min price,
10/6/2015,200,sell USD,no min price,200
10/6/2015,0,sell USD,min price,
10/7/2015,0,sell USD,min price,
10/7/2015,170,sell USD,no min price,170
10/8/2015,0,sell USD,min price,
10/8/2015,230,sell USD,no min price,230
10/9/2015,0,sell USD,min price,
10/9/2015,200,sell USD,no min price,200
10/12/2015,0,sell USD,min price,
10/12/2015,200,sell USD,no min price,200
10/13/2015,200,sell USD,min price,200
10/13/2015,200,sell USD,no min price,200
10/14/2015,0,sell USD,min price,
10/14/2015,200,sell USD,no min price,200
10/15/2015,0,sell USD,min price,
10/15/2015,200,sell USD,no min price,200
10/16/2015,0,sell USD,min price,
10/16/2015,200,sell USD,no min price,200
10/19/2015,200,sell USD,no min price,200
10/19/2015,0,sell USD,min price,
10/20/2015,200,sell USD,no min price,200
10/20/2015,0,sell USD,min price,
10/21/2015,0,sell USD,min price,
10/21/2015,200,sell USD,no min price,200
10/22/2015,200,sell USD,no min price,200
10/22/2015,0,sell USD,min price,
10/23/2015,0,sell USD,min price,
10/23/2015,200,sell USD,no min price,200
10/26/2015,0,sell USD,min price,
10/26/2015,200,sell USD,no min price,200
10/27/2015,200,sell USD,no min price,200
10/27/2015,0,sell USD,min price,
10/28/2015,200,sell USD,no min price,200
10/28/2015,0,sell USD,min price,
10/29/2015,200,sell USD,min price,200
10/29/2015,200,sell USD,no min price,200
10/30/2015,0,sell USD,min price,
10/30/2015,200,sell USD,no min price,200
11/3/2015,200,sell USD,no min price,200
11/3/2015,0,sell USD,min price,
11/4/2015,200,sell USD,no min price,200
11/4/2015,0,sell USD,min price,
11/5/2015,200,sell USD,no min price,200
11/5/2015,0,sell USD,min price,
11/6/2015,200,sell USD,min price,200
11/6/2015,200,sell USD,no min price,200
11/9/2015,0,sell USD,min price,
11/9/2015,200,sell USD,no min price,200
11/10/2015,200,sell USD,no min price,200
11/10/2015,0,sell USD,min price,
11/11/2015,200,sell USD,no min price,200
11/11/2015,0,sell USD,min price,
11/12/2015,200,sell USD,no min price,200
11/12/2015,0,sell USD,min price,
11/13/2015,0,sell USD,min price,
11/13/2015,200,sell USD,no min price,200
11/17/2015,200,sell USD,no min price,200
11/17/2015,0,sell USD,min price,
11/18/2015,200,sell USD,no min price,200
11/18/2015,0,sell USD,min price,
11/19/2015,0,sell USD,min price,
11/19/2015,200,sell USD,no min price,200
11/20/2015,200,sell USD,no min price,200
11/20/2015,0,sell USD,min price,
11/23/2015,0,sell USD,min price,
11/24/2015,0,sell USD,min price,
11/25/2015,0,sell USD,min price,
11/26/2015,0,sell USD,min price,
11/27/2015,0,sell USD,min price,
11/30/2015,0,sell USD,min price,
12/1/2015,0,sell USD,min price,
12/2/2015,0,sell USD,min price,
12/3/2015,0,sell USD,min price,
12/4/2015,0,sell USD,min price,
12/7/2015,200,sell USD,min price,200
12/8/2015,0,sell USD,min price,
12/9/2015,0,sell USD,min price,
12/10/2015,200,sell USD,min price,200
12/11/2015,200,sell USD,min price,200
12/14/2015,0,sell USD,min price,
12/15/2015,0,sell USD,min price,
12/16/2015,0,sell USD,min price,
12/17/2015,0,sell USD,min price,
12/18/2015,0,sell USD,min price,
12/21/2015,110,sell USD,min price,110
12/22/2015,0,sell USD,min price,
12/23/2015,0,sell USD,min price,
12/24/2015,0,sell USD,min price,
12/28/2015,0,sell USD,min price,
12/29/2015,0,sell USD,min price,
12/30/2015,6,sell USD,min price,6
12/31/2015,0,sell USD,min price,
1/4/2016,0,sell USD,min price,
1/5/2016,0,sell USD,min price,
1/6/2016,200,sell USD,min price,200
1/7/2016,200,sell USD,min price,200
1/8/2016,200,sell USD,min price,200
1/11/2016,0,sell USD,min price,
1/12/2016,0,sell USD,min price,
1/13/2016,0,sell USD,min price,
1/14/2016,0,sell USD,min price,
1/15/2016,200,sell USD,min price,200
1/18/2016,0,sell USD,min price,
1/19/2016,0,sell USD,min price,
1/20/2016,200,sell USD,min price,200
1/21/2016,0,sell USD,min price,
1/22/2016,0,sell USD,min price,
1/25/2016,200,sell USD,min price,200
1/26/2016,0,sell USD,min price,
1/27/2016,0,sell USD,min price,
1/28/2016,0,sell USD,min price,
1/29/2016,0,sell USD,min price,
2/2/2016,200,sell USD,min price,200
2/3/2016,0,sell USD,min price,
2/4/2016,0,sell USD,min price,
2/5/2016,200,sell USD,min price,200
2/8/2016,200,sell USD,min price,200
2/9/2016,0,sell USD,min price,
2/10/2016,0,sell USD,min price,
2/11/2016,200,sell USD,min price,200
2/12/2016,0,sell USD,min price,
2/15/2016,0,sell USD,min price,
2/16/2016,0,sell USD,min price,
2/17/2016,0,sell USD,min price,
