date,amount,direction,type,sell_amount
4/29/2009,100,sell USD,no min price,100
4/30/2009,100,sell USD,no min price,100
4/30/2009,0,sell USD,min price,
5/4/2009,0,sell USD,min price,
5/4/2009,100,sell USD,no min price,100
5/5/2009,100,sell USD,no min price,100
5/5/2009,0,sell USD,min price,
5/6/2009,100,sell USD,no min price,100
5/6/2009,0,sell USD,min price,
5/7/2009,100,sell USD,no min price,100
5/7/2009,0,sell USD,min price,
5/8/2009,100,sell USD,no min price,100
5/8/2009,0,sell USD,min price,
5/11/2009,0,sell USD,min price,
5/11/2009,100,sell USD,no min price,100
5/12/2009,100,sell USD,no min price,100
5/12/2009,0,sell USD,min price,
5/13/2009,0,sell USD,min price,
5/13/2009,100,sell USD,no min price,100
5/14/2009,0,sell USD,min price,
5/14/2009,100,sell USD,no min price,100
5/15/2009,0,sell USD,min price,
5/15/2009,100,sell USD,no min price,100
5/18/2009,100,sell USD,no min price,100
5/18/2009,0,sell USD,min price,
5/19/2009,100,sell USD,no min price,100
5/19/2009,0,sell USD,min price,
5/20/2009,0,sell USD,min price,
5/20/2009,100,sell USD,no min price,100
5/21/2009,120,sell USD,min price,120
5/21/2009,100,sell USD,no min price,100
5/22/2009,0,sell USD,min price,
5/22/2009,100,sell USD,no min price,100
5/25/2009,0,sell USD,min price,
5/25/2009,100,sell USD,no min price,100
5/26/2009,0,sell USD,min price,
5/26/2009,100,sell USD,no min price,100
5/27/2009,0,sell USD,min price,
5/27/2009,100,sell USD,no min price,100
5/28/2009,0,sell USD,min price,
5/28/2009,100,sell USD,no min price,100
5/29/2009,0,sell USD,min price,
5/29/2009,100,sell USD,no min price,100
6/1/2009,100,sell USD,no min price,100
6/1/2009,0,sell USD,min price,
6/2/2009,0,sell USD,min price,
6/2/2009,100,sell USD,no min price,100
6/3/2009,0,sell USD,min price,
6/3/2009,100,sell USD,no min price,100
6/4/2009,0,sell USD,min price,
6/4/2009,100,sell USD,no min price,100
6/5/2009,0,sell USD,min price,
6/5/2009,100,sell USD,no min price,100
6/8/2009,0,sell USD,min price,
6/8/2009,100,sell USD,no min price,100
6/9/2009,0,sell USD,min price,
6/9/2009,50,sell USD,no min price,50
6/10/2009,50,sell USD,no min price,50
6/10/2009,0,sell USD,min price,
6/11/2009,50,sell USD,no min price,50
6/11/2009,0,sell USD,min price,
6/12/2009,0,sell USD,min price,
6/12/2009,50,sell USD,no min price,50
6/15/2009,0,sell USD,min price,
6/15/2009,50,sell USD,no min price,50
6/16/2009,0,sell USD,min price,
6/16/2009,50,sell USD,no min price,50
6/17/2009,50,sell USD,no min price,50
6/17/2009,0,sell USD,min price,
6/18/2009,50,sell USD,no min price,50
6/18/2009,0,sell USD,min price,
6/19/2009,0,sell USD,min price,
6/19/2009,50,sell USD,no min price,50
6/22/2009,0,sell USD,min price,
6/22/2009,50,sell USD,no min price,50
6/23/2009,50,sell USD,no min price,50
6/23/2009,0,sell USD,min price,
6/24/2009,50,sell USD,no min price,50
6/24/2009,0,sell USD,min price,
6/25/2009,50,sell USD,no min price,50
6/25/2009,0,sell USD,min price,
6/26/2009,50,sell USD,no min price,50
6/26/2009,0,sell USD,min price,
6/29/2009,50,sell USD,no min price,50
6/29/2009,0,sell USD,min price,
6/30/2009,50,sell USD,no min price,50
6/30/2009,0,sell USD,min price,
7/1/2009,50,sell USD,no min price,50
7/1/2009,0,sell USD,min price,
7/2/2009,50,sell USD,no min price,50
7/2/2009,0,sell USD,min price,
7/3/2009,0,sell USD,min price,
7/3/2009,50,sell USD,no min price,50
7/6/2009,0,sell USD,min price,
7/6/2009,50,sell USD,no min price,50
7/7/2009,0,sell USD,min price,
7/7/2009,50,sell USD,no min price,50
7/8/2009,50,sell USD,no min price,50
7/8/2009,250,sell USD,min price,250
7/9/2009,0,sell USD,min price,
7/9/2009,50,sell USD,no min price,50
