date,mxn_usd_spot,mxn_fwd_1m,min_max_spread,bid_ask_spread,mxn_interbank_1m,mxn_sov_10y,usa_libor_1m,usa_sov_10y,vix,oil_prices,eur_usd_spot,amount,direction,type,sell_amount,FX level,FX log returns,Bid ask abs,Min max abs,Forward points first difference,Interbank rate vs Libor,VIX first diff,EURUSD log returns,Oil prices log returns,FX intervention in USD,fx_intervention_minprice,fx_intervention_nominprice,FX intervention dummy,FX intervention dummy lag,Intercept,FX log returns_fwd
1990-01-01,2.6835,,0.0,0.0,,,8.375,7.935,,21.82,,,,,,2.6835,,0.0,0.0,,,,,,0.0,,,0,,1,-24.251480965309895
1990-01-02,2.677,,0.007,0.0,,,8.375,7.93,17.24,22.89,,,,,,2.677,-24.251480965309895,0.0,0.007,,,,,478.7315355955053,0.0,,,0,0.0,1,0.0
1990-01-03,2.677,,0.0,0.0,,,8.375,7.974,18.19,23.68,,,,,,2.677,0.0,0.0,0.0,,,0.9500000000000028,,339.30676051329635,0.0,,,0,0.0,1,0.0
1990-01-04,2.677,,0.0,0.0,,,8.3125,7.972,19.22,23.41,,,,,,2.677,0.0,0.0,0.0,,,1.0299999999999976,,-114.6752851298548,0.0,,,0,0.0,1,0.0
1990-01-05,2.677,,0.0,0.0,,,8.375,7.984,20.11,23.08,,,,,,2.677,0.0,0.0,0.0,,,0.8900000000000006,,-141.9683986292064,0.0,,,0,0.0,1,18.66020321271262
1990-01-08,2.682,,0.005,0.0,,,8.3125,8.012,20.26,21.62,,,,,,2.682,18.66020321271262,0.0,0.005,,,0.15000000000000213,,-653.476294288365,0.0,,,0,0.0,1,0.0
1990-01-09,2.682,,0.0,0.0,,,8.25,8.009,22.2,22.07,,,,,,2.682,0.0,0.0,0.0,,,1.9399999999999977,,206.00408057582777,0.0,,,0,0.0,1,0.0
1990-01-10,2.682,,0.0,0.0,,,8.25,8.014,22.44,22.9,,,,,,2.682,0.0,0.0,0.0,,,0.240000000000002,,369.176902915489,0.0,,,0,0.0,1,0.0
1990-01-11,2.682,,0.0,0.0,,,8.25,8.044,20.05,23.14,,,,,,2.682,0.0,0.0,0.0,,,-2.3900000000000006,,104.25811205336707,0.0,,,0,0.0,1,0.0
1990-01-12,2.682,,0.0,0.0,,,8.25,8.096,24.64,23.13,,,,,,2.682,0.0,0.0,0.0,,,4.59,,-4.322455221827635,0.0,,,0,0.0,1,66.8898815079671
1990-01-15,2.7,,0.018,0.0,,,8.3125,8.113,26.34,22.36,,,,,,2.7,66.8898815079671,0.0,0.018,,,1.6999999999999993,,-338.56827956449393,0.0,,,0,0.0,1,0.0
1990-01-16,2.7,,0.018,0.0,,,8.375,8.196,24.18,22.78,,,,,,2.7,0.0,0.0,0.018,,,-2.16,,186.09309732137734,0.0,,,0,0.0,1,0.0
1990-01-17,2.7,,0.018,0.0,,,8.375,8.191,24.16,22.1,,,,,,2.7,0.0,0.0,0.018,,,-0.019999999999999574,,-303.0534949532892,0.0,,,0,0.0,1,0.0
1990-01-18,2.7,,0.018,0.0,,,8.375,8.303,24.34,22.76,,,,,,2.7,0.0,0.0,0.018,,,0.17999999999999972,,294.2700073442293,0.0,,,0,0.0,1,0.0
1990-01-19,2.7,,0.0,0.0,,,8.3125,8.232,22.5,23.67,,,,,,2.7,0.0,0.0,0.0,,,-1.8399999999999999,,392.0381426776241,0.0,,,0,0.0,1,14.803851704342033
1990-01-22,2.704,,0.004,0.0,,,8.3125,8.27,26.7,22.55,,,,,,2.704,14.803851704342033,0.0,0.004,,,4.199999999999999,,-484.7335757720526,0.0,,,0,0.0,1,0.0
1990-01-23,2.704,,0.0,0.0,,,8.3125,8.349,24.72,21.6,,,,,,2.704,0.0,0.0,0.0,,,-1.9800000000000004,,-430.4175125856802,0.0,,,0,0.0,1,0.0
1990-01-24,2.704,,0.0,0.0,,,8.3125,8.366,25.39,21.59,,,,,,2.704,0.0,0.0,0.0,,,0.6700000000000017,,-4.630701634033685,0.0,,,0,0.0,1,0.0
1990-01-25,2.704,,0.0,0.0,,,8.3125,8.413,25.63,22.24,,,,,,2.704,0.0,0.0,0.0,,,0.23999999999999844,,296.62224855665625,0.0,,,0,0.0,1,0.0
1990-01-26,2.704,,0.0,0.0,,,8.3125,8.464,26.28,22.56,,,,,,2.704,0.0,0.0,0.0,,,0.6500000000000021,,142.85957247476432,0.0,,,0,0.0,1,22.16476710891747
1990-01-29,2.71,,0.006,0.0,,,8.25,8.535,26.44,22.8,,,,,,2.71,22.16476710891747,0.0,0.006,,,0.16000000000000014,,105.82109330537008,0.0,,,0,0.0,1,0.0
1990-01-30,2.71,,0.0,0.0,,,8.3125,8.501,27.25,22.46,,,,,,2.71,0.0,0.0,0.0,,,0.8099999999999987,,-150.24586650098013,0.0,,,0,0.0,1,0.0
1990-01-31,2.71,,0.0,0.0,,,8.3125,8.418,25.36,22.68,,,,,,2.71,0.0,0.0,0.0,,,-1.8900000000000006,,97.47529549254043,0.0,,,0,0.0,1,0.0
1990-02-01,2.71,,0.0,0.0,,,8.3125,8.413,24.87,22.7,,,,,,2.71,0.0,0.0,0.0,,,-0.48999999999999844,,8.814456278056417,0.0,,,0,0.0,1,0.36899688201854375
1990-02-02,2.7101,,0.0001,0.0,,,8.25,8.494,24.32,23.02,,,,,,2.7101,0.36899688201854375,0.0,0.0001,,,-0.5500000000000007,,139.98478806379572,0.0,,,0,0.0,1,29.47572230986421
1990-02-05,2.7181,,0.0081,0.0,,,8.4375,8.519,24.54,22.39,,,,,,2.7181,29.47572230986421,0.0,0.0081,,,0.21999999999999886,,-277.4897268307304,0.0,,,0,0.0,1,0.0
